regiao;uf;municipio;codigo_ibge;taxa_analfabetismo_censo_ibge_2022;populacao_total_municipio_15_anos_censo_ibge_2022;populacao_nao_alfabetizada_censo_ibge_2022;matriculas_eja_fundamental_medio;escolas_municipais_eja;escolas_estaduais_eja;tem_tipo_matricula_eja;aderiu_pba_2024_sba;aderiu_pba_2025_sba;aderiu_pba_saldos_simec;unidade_prisional_oferta_educacional;15_19_anos_populacao_nao_alfabetizada;20_24_anos_populacao_nao_alfabetizada;25_34_anos_populacao_nao_alfabetizada;35_44_anos_populacao_nao_alfabetizada;45_54_anos_populacao_nao_alfabetizada;55_64_anos_populacao_nao_alfabetizada;65_anos_ou_mais_populacao_nao_alfabetizada;ano_adesao
Sul ;Paraná ;Itaúna do Sul ;4111308.0;14.11192214111922;2877.0;406.0;29.0;1.0;0.0;Sim;Não ;Não;Não ;sem unidade;1.8796992481203008;1.4705882352941175;2.380952380952381;5.555555555555555;10.855949895615868;18.805309734513276;42.23484848484848;2024
Sul ;Paraná ;Itaperuçu ;4111258.0;6.663320366419876;23907.0;1593.0;289.0;0.0;2.0;Sim;Não ;Não;Não ;sem unidade;0.8092485549132947;0.8543833580980683;1.2082158679017316;2.687655980034556;6.145675265553869;15.79163248564397;35.11933755479786;2024
Sul ;Paraná ;Itapejara d'Oeste ;4111209.0;5.318934194590231;9908.0;527.0;51.0;0.0;0.0;Sim;Não ;SIM;Não ;sem unidade;1.8979833926453145;0.8254716981132075;1.607717041800643;1.5437392795883362;4.69630557294928;8.777852802160702;15.879265091863518;2024
Sul ;Paraná ;Itambé ;4111100.0;6.885697422781822;5083.0;350.0;72.0;1.0;2.0;Sim;Não ;Não;Não ;sem unidade;1.3123359580052494;0.5012531328320802;0.468384074941452;1.282051282051282;4.274465691788527;7.535121328224776;25.13601741022851;2024
Sul ;Paraná ;Itambaracá ;4111001.0;12.10817455439459;4881.0;591.0;0.0;0.0;0.0;Não ;Não ;Não;Não ;sem unidade;2.0253164556962027;0.8;1.812688821752266;4.358353510895883;10.785463071512307;17.475728155339805;31.28964059196617;2024
Sul ;Paraná ;Itaipulândia ;4110953.0;7.189615000554754;9013.0;648.0;31.0;1.0;0.0;Sim;Não ;Não;Não ;sem unidade;0.2460024600246002;0.8928571428571428;2.0145495243424736;3.420398009950248;8.100929614873838;14.17721518987342;21.10016420361248;2025
Sul ;Paraná ;Itaguajé ;4110904.0;4.467547063781961;3559.0;159.0;53.0;0.0;0.0;Sim;Não ;Não;Não ;sem unidade;1.020408163265306;2.3255813953488373;1.4563106796116505;1.0434782608695654;3.005008347245409;6.070287539936102;13.412563667232597;2024
Sul ;Paraná ;Iretama ;4110805.0;12.459509486348914;8644.0;1077.0;149.0;2.0;2.0;Sim;Não ;Não;Não ;sem unidade;1.6260162601626018;1.7060367454068242;1.8691588785046729;4.366499642090194;10.78622482131254;19.81132075471698;36.55316191799861;2024
Sul ;Paraná ;Irati ;4110706.0;2.9751997336884157;48064.0;1430.0;721.0;1.0;2.0;Sim;Não ;Não;Não ;Unidade sem oferta;0.7705692269450659;0.7439404847612191;0.7154213036565978;1.393884892086331;2.4319768841801106;3.8603462957706505;10.366568914956012;2024
Sul ;Paraná ;Iracema do Oeste ;4110656.0;11.403508771929824;1938.0;221.0;14.0;0.0;0.0;Sim;Não ;SIM;Não ;sem unidade;0.6896551724137931;3.0303030303030303;2.26537216828479;5.590062111801243;9.836065573770492;16.201117318435752;31.69934640522876;2024
Sul ;Paraná ;Iporã ;4110607.0;7.6923076923076925;12727.0;979.0;99.0;0.0;1.0;Sim;Não ;Não;Não ;Unidade sem oferta;1.1916583912611718;1.1450381679389312;0.8530805687203791;2.702702702702702;6.2795089707271;10.344827586206897;23.13624678663239;2025
Sul ;Paraná ;Ipiranga ;4110508.0;4.867971977725884;11134.0;542.0;113.0;0.0;2.0;Sim;Não ;Não;Não ;sem unidade;0.9285051067780872;1.544050862851953;1.0854176498348278;2.138540213854021;4.817987152034261;9.379310344827587;16.08187134502924;2024
Sul ;Paraná ;Indianópolis ;4110409.0;7.15071507150715;3636.0;260.0;17.0;0.0;0.0;Sim;Não ;Não;Não ;sem unidade;0.6451612903225806;0.78125;1.461038961038961;1.639344262295082;3.814262023217247;7.625649913344887;25.602409638554217;2024
Sul ;Paraná ;Inajá ;4110300.0;11.575875486381324;2056.0;238.0;176.0;0.0;2.0;Sim;Não ;Não;Não ;sem unidade;1.9867549668874172;0.8130081300813009;1.6181229773462782;2.26628895184136;11.466666666666669;15.18624641833811;31.565656565656564;2024
Sul ;Paraná ;Inácio Martins ;4110201.0;7.2369296261806575;7517.0;544.0;97.0;1.0;2.0;Sim;Não ;Não;Não ;sem unidade;2.0592020592020592;0.7585335018963337;1.755669348939283;3.0232558139534884;7.341576506955177;11.6600790513834;24.94929006085193;2024
Sul ;Paraná ;Imbituva ;4110102.0;4.232375756542494;23462.0;993.0;132.0;1.0;2.0;Sim;Não ;Não;Não ;sem unidade;0.9561060408518036;1.1119936457505957;0.9488893681259434;1.6364043936337145;4.13846954711088;8.234519104084322;15.6355455568054;2024
Sul ;Paraná ;Imbaú ;4110078.0;9.027145199489889;10978.0;991.0;52.0;1.0;0.0;Sim;Não ;Não;Não ;sem unidade;0.8450704225352111;1.5019762845849802;1.926691729323308;3.248730964467005;8.056614044637996;17.053701015965167;35.580524344569284;2024
